country,year,parent_company,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers
United States of America,2020,Taylor Farms,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,2020,TCCA,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,The Bar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,2020,The Cathy Family,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,134,511.0
United States of America,2020,The Clorox Group,7.0,12.0,1.0,3.0,2.0,0.0,0.0,26.0,134,511.0
United States of America,2020,The Coca-Cola Company,0.0,3.0,16.0,208.0,9.0,5.0,0.0,247.0,134,511.0
United States of America,2020,The Keebler Company,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,The Kroger Company,96.0,27.0,9.0,49.0,309.0,10.0,0.0,500.0,134,511.0
United States of America,2020,The Topps Company,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,The Wonderful Company,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Tilamook Country Smoker,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Tom's of Maine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Tootsie Roll Industries,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Top Fin Underwater World,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,134,511.0
United States of America,2020,Trader Joe'S,0.0,1.0,2.0,9.0,5.0,1.0,0.0,18.0,134,511.0
United States of America,2020,Trader Joe's Lentil Soup,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,"Trader Joe""s",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,"Trinchero Family Estates, Inc.",0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,134,511.0
United States of America,2020,Tropical Café,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,134,511.0
United States of America,2020,TruSkin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Uncle Matt's organic oj,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Unilever,8.0,2.0,11.0,9.0,4.0,0.0,0.0,35.0,134,511.0
United States of America,2020,Universal Robina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Universal Robina Corporation,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Utz Quality Foods,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Valio International USA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Ventura Foods,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,134,511.0
United States of America,2020,VO5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Waddington Group,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Waffle House,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,134,511.0
United States of America,2020,Wakerfern Food Corp,1.0,12.0,10.0,6.0,3.0,0.0,0.0,32.0,134,511.0
United States of America,2020,Wal-Mart,12.0,0.0,0.0,18.0,0.0,0.0,0.0,30.0,134,511.0
United States of America,2020,Walgreens,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Walmart,2.0,11.0,3.0,34.0,32.0,3.0,0.0,86.0,134,511.0
United States of America,2020,Water Gremlin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,"Wegman's Enterprises, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Welch's,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Wells Enterprises,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Wendy'S,0.0,0.0,2.0,5.0,6.0,2.0,0.0,15.0,134,511.0
United States of America,2020,Wet Willie's,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Whole Foods,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Wings Food,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,134,511.0
United States of America,2020,"Yum! Brands, Inc.",0.0,2.0,12.0,3.0,9.0,3.0,1.0,31.0,134,511.0
United States of America,2020,Zaxby'S,1.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,134,511.0
United States of America,2020,Ziploc,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,134,511.0
Vietnam,2020,3A nutrition JSC - Vietnam,0.0,0.0,61.0,0.0,0.0,0.0,0.0,61.0,6,27.0
Vietnam,2020,Abbott Laboratories,1.0,0.0,1.0,0.0,14.0,0.0,0.0,16.0,6,27.0
Vietnam,2020,Acebook,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,6,27.0
Vietnam,2020,Acecook JSC Vietnam,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,6,27.0
Vietnam,2020,Acecook Vietnam,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,6,27.0
Vietnam,2020,Aji Frozen Usa Corporation,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,Ajinomoto,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,6,27.0
Vietnam,2020,AQUAPHARMCO.LTD,0.0,0.0,31.0,0.0,0.0,0.0,0.0,31.0,6,27.0
Vietnam,2020,Asia Food Company,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,6,27.0
Vietnam,2020,Asia Foods JSC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,Bao Minh Pharmaceutical Joint Stock Company,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,Bel Group,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,"Betagen CO., LTD - Vietnam",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,"Bibica Co., LTD - Vietnam",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,Binh Duong Capital Joint Stock Company,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,6,27.0
Vietnam,2020,Binhdinh Pharmaceutical and Medical Equipment JSC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,Bio-pharmachemie joint venture company,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,27.0
Vietnam,2020,"Bong Mai Co., Ltd",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,BP PLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,CALOFIC,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6,27.0
Vietnam,2020,Campbell Soup Company,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,Chau Lam Manufacturing Establishment,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,6,27.0
Vietnam,2020,Cholimex JSC,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,6,27.0
Vietnam,2020,Colgate-Palmolive,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,Công ty cổ phần dược phẩm SAVI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,27.0
Vietnam,2020,D.A P&T,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6,27.0
Vietnam,2020,"Dai Viet Huong production and trade Co., Ltd",2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6,27.0
Vietnam,2020,Danh Tan Phat Limited Liability Company,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,6,27.0
Vietnam,2020,Dona Tower Food and Beverage JSC,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6,27.0
